Synergy!ID,HistoryID,宿泊数(県内),交通費,訪問目的(やんばるエリア)_ALL,訪問目的(やんばるエリア)_宿でのんびり過ごす,訪問目的(やんばるエリア)_リゾートホテルを楽しむ,訪問目的(やんばるエリア)_地元の美味しいものを食べる,訪問目的(やんばるエリア)_花見などの自然鑑賞,訪問目的(やんばるエリア)_名所、旧跡の観光,訪問目的(やんばるエリア)_テーマパーク:沖縄美ら海水族館,訪問目的(やんばるエリア)_テーマパーク:JUNGLIA,訪問目的(やんばるエリア)_テーマパーク:その他,訪問目的(やんばるエリア)_買い物、アウトレット,訪問目的(やんばるエリア)_お祭りやイベントへの参加・見物,訪問目的(やんばるエリア)_地域の行事,訪問目的(やんばるエリア)_スポーツ観戦や芸能鑑賞(コンサート等),訪問目的(やんばるエリア)_アウトドア:ビーチ・海水浴,訪問目的(やんばるエリア)_アウトドア:マリンスポーツ,訪問目的(やんばるエリア)_アウトドア:登山・トレッキング,訪問目的(やんばるエリア)_アウトドア:キャンプ,訪問目的(やんばるエリア)_まちあるき・集落散策,訪問目的(やんばるエリア)_各種体験(手作り、果物狩りなど),訪問目的(やんばるエリア)_その他スポーツ(ゴルフ、テニスなど),訪問目的(やんばるエリア)_ドライブ・ツーリング,訪問目的(やんばるエリア)_友人・親戚を尋ねる,訪問目的(やんばるエリア)_出張など仕事関係,訪問目的(やんばるエリア)_その他,訪問目的(やんばるエリア)_その他_text,同行者(やんばるエリア),同行者(やんばるエリア)_その他_text,情報収集(やんばるエリア)_ALL,情報収集(やんばるエリア)_観光展・物産展,情報収集(やんばるエリア)_新聞・雑誌・ガイドブック,情報収集(やんばるエリア)_TV・ラジオ番組やCM,情報収集(やんばるエリア)_観光パンフレット・ポスター,情報収集(やんばるエリア)_観光協会のHP,情報収集(やんばるエリア)_美ら海水族館等の観光関連事業者HP,情報収集(やんばるエリア)_宿泊事業者のHP,情報収集(やんばるエリア)_Chat GPT等の生成AI,情報収集(やんばるエリア)_Google map,情報収集(やんばるエリア)_インターネット・アプリ,情報収集(やんばるエリア)_YouTube,情報収集(やんばるエリア)_Twitter,情報収集(やんばるエリア)_Instagram,情報収集(やんばるエリア)_Facebook,情報収集(やんばるエリア)_ブログ,情報収集(やんばるエリア)_友人・知人,情報収集(やんばるエリア)_観光協会・空港・道の駅等の案内所,情報収集(やんばるエリア)_タクシードライバーや地元の人,情報収集(やんばるエリア)_宿泊施設,情報収集(やんばるエリア)_その他,情報収集(やんばるエリア)_その他_text,やんばるエリアまでの交通手段_ALL,やんばるエリアまでの交通手段_自家用車,やんばるエリアまでの交通手段_レンタカー,やんばるエリアまでの交通手段_ヘリコプター,やんばるエリアまでの交通手段_旅行会社ツアーバス,やんばるエリアまでの交通手段_フェリー,やんばるエリアまでの交通手段_路線バス、高速バス、シャトルバス,やんばるエリアまでの交通手段_タクシー,やんばるエリアまでの交通手段_その他,やんばるエリアまでの交通手段_その他_text,やんばるエリア内での交通手段_ALL,やんばるエリア内での交通手段_自家用車,やんばるエリア内での交通手段_レンタカー,やんばるエリア内での交通手段_タクシー,やんばるエリア内での交通手段_旅行会社ツアーバス,やんばるエリア内での交通手段_路線バス,やんばるエリア内での交通手段_徒歩,やんばるエリア内での交通手段_レンタサイクル,やんばるエリア内での交通手段_その他,やんばるエリア内での交通手段_その他_text,やんばるエリア内での交通手段の満足度,やんばるエリア内での交通手段の満足度の理由,宿泊数(やんばるエリア),宿泊費(やんばるエリア),観光費(やんばるエリア),飲食費(やんばるエリア),土産費(やんばるエリア),訪問回数(やんばるエリア),前回訪問時期(やんばるエリア),今後の来訪意向(やんばるエリア),今後の来訪時期(やんばるエリア),体験・サービス満足度(やんばるエリア),体験・サービス満足度の理由(やんばるエリア),推奨度(やんばるエリア),推奨項目(やんばるエリア),改善点(やんばるエリア),改善点の内容(やんばるエリア),回答前に訪問したエリア(調査地),回答前に訪問した主な施設(調査地),回答前に訪問した主な施設・その他(調査地),回答後に訪問予定のエリア(調査地),回答後に訪問予定の主な施設(調査地),回答後に訪問予定の主な施設・その他(調査地),現地消費額(調査地),体験・サービス満足度(調査地),体験・サービス満足度の理由(調査地),施設に求めるもの(調査地),施設推奨度(調査地),施設推奨項目(調査地),性別,生年,都道府県,世帯年収,訪問地のエリア名,訪問地の市町村,回答日時
2997,2751,日帰り,"5,000円未満","宿でのんびり過ごす,地元の美味しいものを食べる,名所、旧跡の観光,まちあるき・集落散策",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,友人,,"新聞・雑誌・ガイドブック,Google map,友人・知人",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,自家用車,1,0,0,0,0,0,0,0,,自家用車,1,0,0,0,0,0,0,0,,,,1泊,"10,000円以上 20,000円未満","5,000円以上 10,000円未満","5,000円以上 10,000円未満","5,000円以上 10,000円未満",11回目以上,半年以内,必ず来たい,半年以内,満足,,10,,ない,,なかやんばる(名護市・本部町・今帰仁村),その他,,うふやんばる(国頭村・大宜味村・東村),塩屋湾,,"5,000円未満",満足,,,10,,その他,1998,沖縄県,600-800万円未満,芭蕉布会館エリア,大宜味村,2025-12-19 0:26:27
2998,2752,2泊,"5,000円以上 10,000円未満",出張など仕事関係,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,小学生を含む家族(未就学児は含まない),,"インターネット・アプリ,YouTube",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,"自家用車,その他",1,0,0,0,0,0,0,1,,"自家用車,その他",1,0,0,0,0,0,0,1,,大変満足,,7泊以上,"5,000円以上 10,000円未満","5,000円未満","10,000円以上 20,000円未満","10,000円以上 20,000円未満",11回目以上,半年-1年前,来たい,半年以内,大変満足,自然が豊富である,10,ゆっくりとした時間や自然や夕日,ない,,島やんばる(伊江村・伊是名村・伊平屋村),尚円王御庭公園,,島やんばる(伊江村・伊是名村・伊平屋村),尚円王御庭公園,,"10,000円以上 20,000円未満",普通,"お店が少ない
全体的に接客が悪い",,6,,男性,1979,沖縄県,300-400万円未満,伊是名村エリア,伊是名村,2025-12-19 8:14:13
2999,2753,3泊,"5,000円未満","宿でのんびり過ごす,リゾートホテルを楽しむ,地元の美味しいものを食べる",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,親,,"宿泊事業者のHP,YouTube",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,レンタカー,0,1,0,0,0,0,0,0,,レンタカー,0,1,0,0,0,0,0,0,,満足,荷物を入れたまま移動ができ、余裕を持ちながら行動できたから。,3泊,"40,000円以上 50,000円未満","5,000円以上 10,000円未満","20,000円以上 30,000円未満","5,000円以上 10,000円未満",6-10回目,半年-1年前,必ず来たい,半年以内,満足,観光資源が多く、まだまだ行けていないところも沢山あり、毎回わくわくできるため。,10,観光資源が多いため、誰に勧めるとしても好みに合いそうな場所をセレクトできるため。,ある,夜になると街灯があまりない道が多く、車で運転し辛さを感じることがある。,特になし,特に無し,,中部,その他,やちむんの里,"10,000円以上 20,000円未満",満足,すべてが過不足なくちょうど良く感じた。,,9,朝食ビュッフェが美味しく、景色も夕日が綺麗に見えて、マルシェで軽食やお土産が購入できるなどホテルだけで完結できるところ。,女性,1997,千葉県,300-400万円未満,海洋博公園・観光拠点エリア,本部町,2025-12-19 9:50:08
3000,2754,4泊,"10,000円以上 20,000円未満","地元の美味しいものを食べる,まちあるき・集落散策",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,友人,,"観光パンフレット・ポスター,友人・知人",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,レンタカー,0,1,0,0,0,0,0,0,,レンタカー,0,1,0,0,0,0,0,0,,大変満足,ほかの移動手段が思いつかなかった,3泊,"10,000円以上 20,000円未満","5,000円未満","10,000円以上 20,000円未満","5,000円以上 10,000円未満",4-5回目,1-3年前,来たい,1-3年後,大変満足,雰囲気がすき,10,沖縄らしいのんびり感を味わえる,ない,,特になし,特に無し,おばあの家,特になし,特に無し,,"10,000円以上 20,000円未満",大変満足,ご飯が美味しかった,,10,,女性,1975,大阪府,400-600万円未満,道の駅許田エリア,名護市,2025-12-19 11:10:09
3001,2755,3泊,"100,000円以上","地元の美味しいものを食べる,名所、旧跡の観光",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,パートナー(恋人・夫婦など),,"観光展・物産展,Google map",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,レンタカー,0,1,0,0,0,0,0,0,,レンタカー,0,1,0,0,0,0,0,0,,大変満足,何もないかなと思ってきてみたけど、ゆったりした時間が流れている感じで、とても良かった。道の駅巡りとヤンバルのスタンプラリーをメインに訪れました。特産品やお土産も種類が多いし、ヤンバルクイナについて学べる施設もあって、関連するお土産もあるのでついついたくさん買ってしまった。地図で見ると道がくねくねしていて運転が難しいかなと思ったけど、きちんと整備されていて全然困らなかった。楽しかったです。,2泊,"50,000円以上 100,000円未満","10,000円以上 20,000円未満","10,000円以上 20,000円未満","20,000円以上 30,000円未満",2-3回目,1-3年前,必ず来たい,1-3年後,大変満足,お土産の購入にも全然困らなかったです。,10,年齢的にエンターテインメントよりも、生態系や地形、文化に興味の友人が多いので、ヤンバルエリアはおすすめしやすいと思いました。,ある,トイレのある施設が少し見つけづらかった。,うふやんばる(国頭村・大宜味村・東村),やんばる野生生物保護センター,,うふやんばる(国頭村・大宜味村・東村),辺戸岬,,"10,000円以上 20,000円未満",満足,かわいいヤンバルクイナのグッズがあって、Tシャツとパンツを4枚購入しました。,パイナップルスムージー、さすがの美味しさでした。,10,ゆっくりで来て良かったです。ブランコも乗りましたが、景色も相まって素敵な写真が撮れました。,女性,1993,福島県,600-800万円未満,ヤンバルクイナ生態展示学習施設クイナの森エリア,国頭村,2025-12-19 11:12:11
3002,2756,3泊,"5,000円未満","地元の美味しいものを食べる,名所、旧跡の観光,テーマパーク:沖縄美ら海水族館,テーマパーク:JUNGLIA",0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,パートナー(恋人・夫婦など),,"新聞・雑誌・ガイドブック,YouTube,Instagram",0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,レンタカー,0,1,0,0,0,0,0,0,,レンタカー,0,1,0,0,0,0,0,0,,満足,ドライブを兼ねて年中楽しめるヤンバル中部北部は最高に楽しく癒されます,1泊,"5,000円未満","10,000円以上 20,000円未満","5,000円未満","5,000円未満",4-5回目,半年以内,必ず来たい,半年-1年後,満足,一年中いつきても楽しめるから,9,万座毛　美ら海　辺戸岬,ない,,なかやんばる(名護市・本部町・今帰仁村),古宇利島(オーシャンタワー/ハートロック),,門口(じょうぐち)やんばる(金武町・宜野座村・恩納村),真栄田岬,,"5,000円以上 10,000円未満",大変満足,自然が楽しめる,この地域でしか買えない限定品を増やしてほしい,10,象の鼻,女性,1964,東京都,400-600万円未満,万座毛エリア,恩納村,2025-12-19 11:26:43
3003,2757,3泊,"10,000円以上 20,000円未満",名所、旧跡の観光,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,パートナー(恋人・夫婦など),,新聞・雑誌・ガイドブック,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,レンタカー,0,1,0,0,0,0,0,0,,レンタカー,0,1,0,0,0,0,0,0,,満足,コスパが良かった,やんばるエリアには宿泊しない,使わない,"5,000円未満","5,000円未満","5,000円未満",2-3回目,半年以内,来たい,半年以内,やや不満,もっと観光やショッピング、グルメスポットを増やして欲しい,5,美ら海水族館がオススメ,ある,許田からが遠い,南部,首里城公園,,門口(じょうぐち)やんばる(金武町・宜野座村・恩納村),万座毛,,"5,000円未満",やや満足,万座毛の景勝が好きだから,もっと施設があると嬉しい,6,万座毛は必見,男性,1967,東京都,200-300万円未満,万座毛エリア,恩納村,2025-12-19 11:27:53
3004,2758,1泊,"5,000円未満","地元の美味しいものを食べる,テーマパーク:沖縄美ら海水族館",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,未就学児を含む家族,,"インターネット・アプリ,Instagram",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,自家用車,1,0,0,0,0,0,0,0,,自家用車,1,0,0,0,0,0,0,0,,,,やんばるエリアには宿泊しない,使わない,"5,000円以上 10,000円未満","10,000円以上 20,000円未満","5,000円未満",2-3回目,1-3年前,来たい,1-3年後,やや満足,,7,,ある,,うふやんばる(国頭村・大宜味村・東村),その他,漁港,なかやんばる(名護市・本部町・今帰仁村),その他,,"5,000円未満",満足,,,8,,女性,1984,沖縄県,600-800万円未満,道の駅ゆいゆい国頭エリア,国頭村,2025-12-19 11:45:32
3005,2759,2泊,"10,000円以上 20,000円未満","地元の美味しいものを食べる,花見などの自然鑑賞,名所、旧跡の観光,アウトドア:マリンスポーツ,ドライブ・ツーリング",0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,パートナー(恋人・夫婦など),,"観光パンフレット・ポスター,インターネット・アプリ,Twitter,Instagram",0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,,"レンタカー,路線バス、高速バス、シャトルバス",0,1,0,0,0,1,0,0,,レンタカー,0,1,0,0,0,0,0,0,,やや満足,那覇からの直通バスや電車などあると便利かと思います。,1泊,"5,000円以上 10,000円未満","5,000円以上 10,000円未満","10,000円以上 20,000円未満","5,000円以上 10,000円未満",2-3回目,1-3年前,来たい,1-3年後,普通,観光施設やカフェ、食堂、スーパーなど増やして欲しいです,6,"素晴らしい景色自然が豊か
ヤンバルクイナがここでしか見られない希少価値のある鳥であること、",ある,上記に同じ,なかやんばる(名護市・本部町・今帰仁村),古宇利島(オーシャンタワー/ハートロック),,なかやんばる(名護市・本部町・今帰仁村),古宇利島(オーシャンタワー/ハートロック),,"5,000円未満",満足,提供が早いことと、自然が豊かで立地が良い,イルミネーションイベントなどして欲しい,8,とても美味しい　場所がとても良かった,女性,1967,愛知県,800-1000万円未満,道の駅ゆいゆい国頭エリア,国頭村,2025-12-19 11:46:04
3006,2760,4泊,使わない,名所、旧跡の観光,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,親,,新聞・雑誌・ガイドブック,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,旅行会社ツアーバス,0,0,0,1,0,0,0,0,,旅行会社ツアーバス,0,0,0,1,0,0,0,0,,満足,,やんばるエリアには宿泊しない,使わない,使わない,"5,000円未満","5,000円未満",初めて,,来たい,5年以上,満足,,9,,ない,,なかやんばる(名護市・本部町・今帰仁村),古宇利島(オーシャンタワー/ハートロック),,なかやんばる(名護市・本部町・今帰仁村),,備瀬のフクギ並木,使わない,満足,,,9,,女性,1990,新潟県,100-200万円未満,今帰仁の駅そーれエリア,今帰仁村,2025-12-19 11:50:58
