Synergy!ID,HistoryID,宿泊数(県内),交通費,訪問目的(やんばるエリア)_ALL,訪問目的(やんばるエリア)_宿でのんびり過ごす,訪問目的(やんばるエリア)_リゾートホテルを楽しむ,訪問目的(やんばるエリア)_地元の美味しいものを食べる,訪問目的(やんばるエリア)_花見などの自然鑑賞,訪問目的(やんばるエリア)_名所、旧跡の観光,訪問目的(やんばるエリア)_テーマパーク:沖縄美ら海水族館,訪問目的(やんばるエリア)_テーマパーク:JUNGLIA,訪問目的(やんばるエリア)_テーマパーク:その他,訪問目的(やんばるエリア)_買い物、アウトレット,訪問目的(やんばるエリア)_お祭りやイベントへの参加・見物,訪問目的(やんばるエリア)_地域の行事,訪問目的(やんばるエリア)_スポーツ観戦や芸能鑑賞(コンサート等),訪問目的(やんばるエリア)_アウトドア:ビーチ・海水浴,訪問目的(やんばるエリア)_アウトドア:マリンスポーツ,訪問目的(やんばるエリア)_アウトドア:登山・トレッキング,訪問目的(やんばるエリア)_アウトドア:キャンプ,訪問目的(やんばるエリア)_まちあるき・集落散策,訪問目的(やんばるエリア)_各種体験(手作り、果物狩りなど),訪問目的(やんばるエリア)_その他スポーツ(ゴルフ、テニスなど),訪問目的(やんばるエリア)_ドライブ・ツーリング,訪問目的(やんばるエリア)_友人・親戚を尋ねる,訪問目的(やんばるエリア)_出張など仕事関係,訪問目的(やんばるエリア)_その他,訪問目的(やんばるエリア)_その他_text,同行者(やんばるエリア),同行者(やんばるエリア)_その他_text,情報収集(やんばるエリア)_ALL,情報収集(やんばるエリア)_観光展・物産展,情報収集(やんばるエリア)_新聞・雑誌・ガイドブック,情報収集(やんばるエリア)_TV・ラジオ番組やCM,情報収集(やんばるエリア)_観光パンフレット・ポスター,情報収集(やんばるエリア)_観光協会のHP,情報収集(やんばるエリア)_美ら海水族館等の観光関連事業者HP,情報収集(やんばるエリア)_宿泊事業者のHP,情報収集(やんばるエリア)_Chat GPT等の生成AI,情報収集(やんばるエリア)_Google map,情報収集(やんばるエリア)_インターネット・アプリ,情報収集(やんばるエリア)_YouTube,情報収集(やんばるエリア)_Twitter,情報収集(やんばるエリア)_Instagram,情報収集(やんばるエリア)_Facebook,情報収集(やんばるエリア)_ブログ,情報収集(やんばるエリア)_友人・知人,情報収集(やんばるエリア)_観光協会・空港・道の駅等の案内所,情報収集(やんばるエリア)_タクシードライバーや地元の人,情報収集(やんばるエリア)_宿泊施設,情報収集(やんばるエリア)_その他,情報収集(やんばるエリア)_その他_text,やんばるエリアまでの交通手段_ALL,やんばるエリアまでの交通手段_自家用車,やんばるエリアまでの交通手段_レンタカー,やんばるエリアまでの交通手段_ヘリコプター,やんばるエリアまでの交通手段_旅行会社ツアーバス,やんばるエリアまでの交通手段_フェリー,やんばるエリアまでの交通手段_路線バス、高速バス、シャトルバス,やんばるエリアまでの交通手段_タクシー,やんばるエリアまでの交通手段_その他,やんばるエリアまでの交通手段_その他_text,やんばるエリア内での交通手段_ALL,やんばるエリア内での交通手段_自家用車,やんばるエリア内での交通手段_レンタカー,やんばるエリア内での交通手段_タクシー,やんばるエリア内での交通手段_旅行会社ツアーバス,やんばるエリア内での交通手段_路線バス,やんばるエリア内での交通手段_徒歩,やんばるエリア内での交通手段_レンタサイクル,やんばるエリア内での交通手段_その他,やんばるエリア内での交通手段_その他_text,やんばるエリア内での交通手段の満足度,やんばるエリア内での交通手段の満足度の理由,宿泊数(やんばるエリア),宿泊地1泊目(やんばるエリア),宿泊地2泊目(やんばるエリア),宿泊地3泊目(やんばるエリア),宿泊地4泊目(やんばるエリア),宿泊地5泊目(やんばるエリア),宿泊地6泊目(やんばるエリア),宿泊地7泊目(やんばるエリア),宿泊費(やんばるエリア),観光費(やんばるエリア),飲食費(やんばるエリア),土産費(やんばるエリア),訪問回数(やんばるエリア),前回訪問時期(やんばるエリア),今後の来訪意向(やんばるエリア),今後の来訪時期(やんばるエリア),体験・サービス満足度(やんばるエリア),体験・サービス満足度の理由(やんばるエリア),推奨度(やんばるエリア),推奨項目(やんばるエリア),改善点(やんばるエリア),改善点の内容(やんばるエリア),回答前に訪問したエリア(調査地),回答前に訪問した主な施設(調査地),回答前に訪問した主な施設・その他(調査地),回答後に訪問予定のエリア(調査地),回答後に訪問予定の主な施設(調査地),回答後に訪問予定の主な施設・その他(調査地),現地消費額(調査地),体験・サービス満足度(調査地),体験・サービス満足度の理由(調査地),施設に求めるもの(調査地),施設推奨度(調査地),施設推奨項目(調査地),性別,生年,都道府県,世帯年収,訪問地のエリア名,訪問地の市町村,回答日時
8110,7383,2泊,"5,000円未満","テーマパーク:沖縄美ら海水族館,テーマパーク:JUNGLIA",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,職場の同僚,,Chat GPT等の生成AI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,旅行会社ツアーバス,0,0,0,1,0,0,0,0,,旅行会社ツアーバス,0,0,0,1,0,0,0,0,,大変満足,移動中ゆっくり休むことができた,1泊,本部町：美ら海水族館・瀬底島周辺エリア,,,,,,,使わない,"5,000円未満",使わない,"5,000円未満",2-3回目,5年以上前,必ず来たい,5年以上,満足,海がきれい,8,,ない,,特になし,特に無し,,南部,国際通り,,"5,000円未満",大変満足,部屋が大きくてきれい。眺めもよい。オリオンビールがたくさん飲める、ほかに見ないオリオンビールグッツが購入できる,,10,とてもきれいなところな上、美ら海水族館に近い,女性,1993,東京都,400-600万円未満,海洋博公園・観光拠点エリア,本部町,2026-05-29 05:14:16
8111,7384,2泊,"5,000円以上 10,000円未満","地元の美味しいものを食べる,テーマパーク:沖縄美ら海水族館,テーマパーク:その他",0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,未就学児を含む家族,,"YouTube,Twitter,Instagram,友人・知人",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,,レンタカー,0,1,0,0,0,0,0,0,,レンタカー,0,1,0,0,0,0,0,0,,大変満足,平日だったこともあり道が空いていて運転しやすかった。また、駐車場が無料の場所が多く金銭的、精神的な負担がないこと、未就園児がいるため自由に行動できてよかった。,やんばるエリアには宿泊しない,,,,,,,,使わない,"5,000円以上 10,000円未満","5,000円未満","5,000円以上 10,000円未満",4-5回目,3-5年前,必ず来たい,1-3年後,大変満足,,10,,ない,,なかやんばる(名護市・本部町・今帰仁村),ナゴパイナップルパーク,,なかやんばる(名護市・本部町・今帰仁村),古宇利島(オーシャンタワー/ハートロック),,"5,000円以上 10,000円未満",大変満足,,,10,,女性,1989,大阪府,1000-1200万円未満,海洋博公園・観光拠点エリア,本部町,2026-05-29 08:25:59
8112,7385,2泊,"10,000円以上 20,000円未満","リゾートホテルを楽しむ,地元の美味しいものを食べる,テーマパーク:沖縄美ら海水族館,アウトドア:ビーチ・海水浴,アウトドア:マリンスポーツ,各種体験(手作り、果物狩りなど)",0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,,小学生を含む家族(未就学児は含まない),,"Google map,Instagram,観光協会・空港・道の駅等の案内所,宿泊施設",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,,レンタカー,0,1,0,0,0,0,0,0,,レンタカー,0,1,0,0,0,0,0,0,,大変満足,"道がわかりやすく異動しやすいです。
外国の方が運転してますのステッカーがレンタカーに貼ってあり受け入れの丁寧さと運転しやすい工夫がされていると感じました。ところどころ県内道路標識が薄くなっているので改善されるとより良いかと思います。また、絶景スポットなどのアピールも有れば参考にします！",2泊,恩納村：万座毛・青の洞窟・ハレクラニ周辺エリア,恩納村：万座毛・青の洞窟・ハレクラニ周辺エリア,,,,,,"20,000円以上 30,000円未満","10,000円以上 20,000円未満","20,000円以上 30,000円未満","10,000円以上 20,000円未満",2-3回目,5年以上前,必ず来たい,1-3年後,大変満足,"海外の方も多いですが親切でした。
沖縄の文化に触れられて嬉しいです。",10,"食べ物！郷土食が美味しい！
天然素材が健康に良さそう！",ある,"少し工事が多いかな？の印象
標識が薄れている。",なかやんばる(名護市・本部町・今帰仁村),沖縄美ら海水族館,,中部,美浜アメリカンビレッジ,,"5,000円以上 10,000円未満",満足,"郷土食がお手頃に食べられる。
地元の果物が食べられる。",2階のコーナーであれば景色が綺麗なので、イートインコーナーとして拡張してもらえたらインスタ映えしそうです。,10,食事とお土産、特に果物は地元ぽくて良かった。,女性,1975,奈良県,1000-1200万円未満,おんなの駅エリア,恩納村,2026-05-29 11:42:28
8113,7386,1泊,"5,000円未満",出張など仕事関係,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,職場の同僚,,友人・知人,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,自家用車,1,0,0,0,0,0,0,0,,自家用車,1,0,0,0,0,0,0,0,,,,やんばるエリアには宿泊しない,,,,,,,,使わない,"5,000円未満","5,000円未満",使わない,11回目以上,半年以内,必ず来たい,1-3年後,普通,,10,ヤンバルクイナなど希少な生物に会える,ない,,南部,国際通り,,南部,その他,那覇空港,"5,000円未満",大変満足,美味しい料理が食べられる,,10,,男性,1974,埼玉県,1500-2000万円未満,道の駅ゆいゆい国頭エリア,国頭村,2026-05-29 12:00:23
8114,7387,1泊,"5,000円以上 10,000円未満","宿でのんびり過ごす,地元の美味しいものを食べる,花見などの自然鑑賞,名所、旧跡の観光,買い物、アウトレット,まちあるき・集落散策",1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,中学生以上を含む家族(小学生以下は含まない),,"宿泊事業者のHP,インターネット・アプリ,Instagram",0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,,自家用車,1,0,0,0,0,0,0,0,,自家用車,1,0,0,0,0,0,0,0,,,,1泊,名護市①：名護市街・カヌチャリゾート周辺エリア,,,,,,,"5,000円以上 10,000円未満","5,000円以上 10,000円未満","5,000円以上 10,000円未満","5,000円未満",11回目以上,半年以内,必ず来たい,半年-1年後,満足,いちゃりばちょうでーの精神が好き,10,自然や観光、遊び、食事、すべて楽しめる,ある,交通手段,なかやんばる(名護市・本部町・今帰仁村),ナゴパイナップルパーク,,なかやんばる(名護市・本部町・今帰仁村),古宇利島(オーシャンタワー/ハートロック),,"5,000円以上 10,000円未満",満足,試食試飲ありなので、お土産が買いやすい,満足,9,自然の景色、島の特徴について知る、お土産など、色々楽しめる,女性,1978,沖縄県,300-400万円未満,古宇利島エリア,今帰仁村,2026-05-29 12:04:33
8115,7388,3泊,"30,000円以上 40,000円未満","花見などの自然鑑賞,テーマパーク:沖縄美ら海水族館,ドライブ・ツーリング",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,パートナー(恋人・夫婦など),,"新聞・雑誌・ガイドブック,Google map,インターネット・アプリ",0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,レンタカー,0,1,0,0,0,0,0,0,,レンタカー,0,1,0,0,0,0,0,0,,大変満足,,やんばるエリアには宿泊しない,,,,,,,,使わない,"5,000円以上 10,000円未満","5,000円未満","5,000円未満",初めて,,来たい,1-3年後,大変満足,,8,,ない,,中部,,,中部,,,"5,000円未満",大変満足,,,9,,男性,1988,神奈川県,1000-1200万円未満,ヤンバルクイナ生態展示学習施設クイナの森エリア,国頭村,2026-05-29 12:11:20
8116,7389,3泊,"50,000円以上 100,000円未満",リゾートホテルを楽しむ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,未就学児を含む家族,,新聞・雑誌・ガイドブック,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,レンタカー,0,1,0,0,0,0,0,0,,レンタカー,0,1,0,0,0,0,0,0,,大変満足,色んなところを巡れる,1泊,国頭村：辺戸岬・オクマリゾート周辺エリア,,,,,,,"40,000円以上 50,000円未満","5,000円以上 10,000円未満","30,000円以上 40,000円未満","20,000円以上 30,000円未満",11回目以上,半年-1年前,必ず来たい,半年-1年後,大変満足,自然豊かで、海も綺麗,10,のんびりできる,ない,,中部,美浜アメリカンビレッジ,,うふやんばる(国頭村・大宜味村・東村),辺戸岬,,"10,000円以上 20,000円未満",大変満足,宝くじが買える,天ぷら,10,食べ歩きもできるし,男性,1997,神奈川県,1200-1500万円未満,道の駅許田・ブセナリゾートエリア,名護市,2026-05-29 12:27:48
8117,7390,1泊,"5,000円未満","宿でのんびり過ごす,地元の美味しいものを食べる",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,パートナー(恋人・夫婦など),,"Google map,Instagram",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,自家用車,1,0,0,0,0,0,0,0,,自家用車,1,0,0,0,0,0,0,0,,,,1泊,名護市②：ブセナリゾート周辺エリア,,,,,,,"10,000円以上 20,000円未満","5,000円以上 10,000円未満","10,000円以上 20,000円未満","5,000円以上 10,000円未満",4-5回目,半年以内,必ず来たい,半年以内,満足,"遠いのでガソリン代高速代が気になるくらい
現地ではとても楽しめてるからそこまでは、気にしないけど^ - ^",9,"ジャングリアはマイナスの意見をよく見てたので不安だったが実際は楽しかった、乗り物あんまり乗らなかったがスタッフの対応が全てをカバーしてる。
あすむい、おおきいがじゅまるがたくさんあって沖縄県民でも驚くもっとみんなに知って欲しい場所",ない,,なかやんばる(名護市・本部町・今帰仁村),その他,パンチョリーナ,なかやんばる(名護市・本部町・今帰仁村),その他,道の駅,"5,000円未満",やや満足,海鮮丼は想像より普通だった,商品ができたらスタッフが番号で呼ぶけど、海外の観光客が呼ばれているのか分からず困っていた。,6,,女性,1998,沖縄県,600-800万円未満,名護市街エリア,名護市,2026-05-29 13:17:39
8118,7391,2泊,"10,000円以上 20,000円未満","宿でのんびり過ごす,リゾートホテルを楽しむ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,パートナー(恋人・夫婦など),,"インターネット・アプリ,Instagram",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,レンタカー,0,1,0,0,0,0,0,0,,レンタカー,0,1,0,0,0,0,0,0,,満足,,2泊,恩納村：万座毛・青の洞窟・ハレクラニ周辺エリア,恩納村：万座毛・青の洞窟・ハレクラニ周辺エリア,,,,,,"100,000円以上 200,000円未満","20,000円以上 30,000円未満","30,000円以上 40,000円未満","10,000円以上 20,000円未満",6-10回目,半年以内,必ず来たい,半年-1年後,大変満足,ヤンバルクイナ生態展示学習施設,10,ヤンバルクイナ,ない,,南部,その他,ブルーエントランスキッチン,門口(じょうぐち)やんばる(金武町・宜野座村・恩納村),その他,三矢本舗恩納店,"5,000円未満",満足,,,10,サーターアンダギー,女性,1999,東京都,800-1000万円未満,おんなの駅エリア,恩納村,2026-05-29 13:49:54
8120,7392,4泊,"5,000円以上 10,000円未満","地元の美味しいものを食べる,テーマパーク:沖縄美ら海水族館,テーマパーク:JUNGLIA,テーマパーク:その他,アウトドア:ビーチ・海水浴",0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,小学生を含む家族(未就学児は含まない),,"Chat GPT等の生成AI,インターネット・アプリ,YouTube",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,,レンタカー,0,1,0,0,0,0,0,0,,レンタカー,0,1,0,0,0,0,0,0,,満足,,2泊,本部町：美ら海水族館・瀬底島周辺エリア,本部町：美ら海水族館・瀬底島周辺エリア,,,,,,"20,000円以上 30,000円未満","5,000円以上 10,000円未満","20,000円以上 30,000円未満","5,000円以上 10,000円未満",2-3回目,5年以上前,やや来たい,1-3年後,普通,,8,,ない,,,,,,,,"5,000円未満",やや満足,,,8,,男性,1980,兵庫県,800-1000万円未満,古宇利島エリア,今帰仁村,2026-05-29 15:45:24
